Geschäftsnummer;Bewilligungsdatum;Endverbraucherland;AG (GKV);MTCR (GKV);NSGI (GKV);NSGII (GKV);WA (GKV);ML (GKV);Anhang 5.1;Anhang 5.2;ChKV; Wert 
12769;12.07.2012;Deutschland;;;0B002g;;;;;;; Fr. 13'950.00 
12770;12.07.2012;Brasilien;;;;;5A001i;;;;; Fr. 3'000.00 
12771;13.07.2012;Saudi-Arabien;;;;;6A002c1;;;;; Fr. 2'175'737.00 
12772;13.07.2012;Indien;;;;3A225;;;;;; Fr. 6'905.00 
12773;13.07.2012;Frankreich;;;;2B201a1;2B001b2;;;;; Fr. 332'224.00 
12774;13.07.2012;China;;;;2B201b1;;;;;; Fr. 634'261.00 
12775;16.07.2012;Frankreich;;;;2B201a1;2B001b2;;;;; Fr. 332'224.00 
12776;16.07.2012;Peru;;;;;;;5.1;;; Fr. 2'508.00 
12777;16.07.2012;China;;;;2B201a1;;;;;; Fr. 829'081.00 
12779;17.07.2012;Großbritannien (Vereinigtes Königreich);2B350a3;;;;;;;;; Fr. 14'500.00 
12780;17.07.2012;Thailand;;;;2B201a1;;;;;; Fr. 246'641.00 
12781;17.07.2012;Slowenien;;;;2B201a1;2B001b1;;;;; Fr. 135'600.00 
12784;17.07.2012;Deutschland;1C351d11;;;;;;;;; Fr. 43.00 
12785;17.07.2012;Slowakei, Slowakische Republik;;;;;6A002c1;;;;; Fr. 22'670.00 
12785;17.07.2012;Slowakei, Slowakische Republik;;;;;6A002c1;;;;; Fr. 91'040.00 
12785;17.07.2012;Slowakei, Slowakische Republik;;;;;6A002c1;;;;; Fr. 27'700.00 
12787;17.07.2012;Singapur;;;;;6A002c1;;;;; Fr. 18'560.00 
12480;18.07.2012;China;;;;;;;;;3B16; Fr. 1.00 
12786;18.07.2012;Chile;;;;;;1a;;;; Fr. 2'650.00 
12788;18.07.2012;Serbien;;;;;;;;5.2;; Fr. 92'000.00 
12789;18.07.2012;Singapur;;;;;3A001a2c;;;;; Fr. 250'000.00 
12790;18.07.2012;Singapur;;;;;3A001a5a1;;;;; Fr. 133'000.00 
12791;18.07.2012;Indien;2B352b;;;;;;;;; Fr. 1.00 
12791;18.07.2012;Indien;2B352.b;;;;;;;;; Fr. 646'526.00 
12792;18.07.2012;Brasilien;;;;2B201b1;;;;;; Fr. 597'837.00 
12793;18.07.2012;Kolumbien;;;;;6A002c1;;;;; Fr. 7'600.00 
12793;18.07.2012;Kolumbien;;;;;6A002a3f;;;;; Fr. 8'100.00 
12745;19.07.2012;Saudi-Arabien;;;;;;;5.1;;; Fr. 6'825.00 
12794;19.07.2012;Israel;;;;;3A001a10c;;;;; Fr. 14'148.00 
12795;19.07.2012;Slowakei, Slowakische Republik;;;;;;1a;;;; Fr. 16'588.00 
12796;19.07.2012;Saudi-Arabien;;;;;;1a;;;; Fr. 19'214.00 
12797;19.07.2012;Südafrika;;;;;6A002c1;;;;; Fr. 11'300.00 
12797;19.07.2012;Südafrika;;;;;6A002c1;;;;; Fr. 23'200.00 
12799;19.07.2012;Deutschland;1C351d11;;;;;;;;; Fr. 153.00 
12800;19.07.2012;Brasilien;;;;2B201b1;;;;;; Fr. 360'000.00 
12801;20.07.2012;Deutschland;1C351d11;;;;;;;;; Fr. 153.00 
12802;20.07.2012;China;;;;2B201a1;;;;;; Fr. 1'682'017.00 
12803;20.07.2012;China;;;;2B201b;;;;;; Fr. 335'149.00 
12804;20.07.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 409'165.00 
12805;20.07.2012;Ägypten;;;;;5A002a1a;;;;; Fr. 2'400.00 
12805;20.07.2012;Ägypten;;;;;5A002a1a;;;;; Fr. 2'100.00 
12806;20.07.2012;China;;;;2B201b1;;;;;; Fr. 452'000.00 
12807;20.07.2012;China;;;;2B201b1;;;;;; Fr. 656'000.00 
12808;23.07.2012;Lettland;;;;;;;5.1;;; Fr. 1'237.00 
12809;23.07.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 23'815.00 
12810;24.07.2012;Vereinigte Staaten;2B352d2;;;;;;;;; Fr. 6'400.00 
12811;24.07.2012;China;;;;;6A005a6b2;;;;; Fr. 198'440.00 
12813;24.07.2012;Indonesien;;;;;5A001f;;;;; Fr. 70'000.00 
12814;24.07.2012;Japan;1C351d11;;;;;;;;; Fr. 268.00 
12815;25.07.2012;Israel;2B350g2;;;;;;;;; Fr. 6'684.00 
12816;25.07.2012;Indien;;;;;;1a;;;; Fr. 10'000.00 
12817;25.07.2012;Vereinigte Staaten;;;;;;5d;;;; Fr. 28'440.00 
12818;25.07.2012;Indien;;;;2B201a1;2B001b2;;;;; Fr. 1'280'000.00 
12819;25.07.2012;Zypern;;;;;;10g;;;; Fr. 17'199.00 
12820;26.07.2012;Rumänien;;;;;6A002c1;;;;; Fr. 8'111.00 
12820;26.07.2012;Rumänien;;;;;6A002c1;;;;; Fr. 8'457.00 
12820;26.07.2012;Rumänien;;;;;6A002c1;;;;; Fr. 23'200.00 
12822;27.07.2012;Österreich;;;;;;;5.1;;; Fr. 1'180.00 
12824;27.07.2012;Bosnien und Herzegowina;;;;;5A002a1a;;;;; Fr. 6'494.00 
12825;27.07.2012;Singapur;;;;;;22a;;;; Fr. 1.00 
12825;27.07.2012;Singapur;;;;;;13;;;; Fr. 5'000'000.00 
12826;27.07.2012;Indien;;;;2B201a1;2B001b2;;;;; Fr. 317'245.00 
12827;27.07.2012;Russische Föderation;;;;2B231;;;;;; Fr. 123'785.00 
12828;30.07.2012;Deutschland;1C351d11;;;;;;;;; Fr. 43.00 
12829;30.07.2012;Algerien;;;;;;;;5.2;; Fr. 625'000.00 
12830;30.07.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 10'437.00 
12831;30.07.2012;Malaysia;;;;;6A005a6b2;;;;; Fr. 198'440.00 
12832;30.07.2012;Russische Föderation;;;;2B231;;;;;; Fr. 188'698.00 
12821;31.07.2012;Madagaskar;;;;;;;5.1;;; Fr. 638.00 
12833;31.07.2012;Taiwan, Provinz von China;2B352b;;;;;;;;; Fr. 91'100.00 
12834;31.07.2012;Macao;;;;;;;5.1;;; Fr. 850.00 
12835;31.07.2012;Indonesien;;;;;5A001f;;;;; Fr. 1'200.00 
12657;02.08.2012;Bahrain;;;;;5A002a1a;;;;; Fr. 19'500'000.00 
12836;02.08.2012;Singapur;;;;1C231;;;;;; Fr. 4'300.00 
12837;02.08.2012;China;;;;;6A005a6b2;;;;; Fr. 198'440.00 
12839;02.08.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 4'380.00 
12184;03.08.2012;Brasilien;;;0A001g;;;17g;;;; Fr. 12'000'000.00 
12840;03.08.2012;Niederlande;;;0B001b14;;;;;;; Fr. 165'000.00 
12841;03.08.2012;Israel;;;;;;1d;;;; Fr. 8'000.00 
12842;03.08.2012;Spanien;;;;;;10c2;;;; Fr. 13'700.00 
12843;07.08.2012;Singapur;;;;;3A001a5a1;;;;; Fr. 276'000.00 
12844;07.08.2012;China;;;;2B201a1;;;;;; Fr. 7'449'750.00 
12845;07.08.2012;Singapur;1C35009;;;;;;;;3B14; Fr. 12'000.00 
12846;07.08.2012;Italien;;;;2B201a1;2B001b2;;;;; Fr. 284'701.00 
12847;07.08.2012;Taiwan, Provinz von China;;;;;2D002;;;;; Fr. 49'560.00 
12848;07.08.2012;Taiwan, Provinz von China;;;;;2D002;;;;; Fr. 47'676.00 
12849;07.08.2012;Taiwan, Provinz von China;;;;;2D002;;;;; Fr. 64'344.00 
12850;08.08.2012;Indien;;;;;;;5.1;;; Fr. 2'380.00 
12851;08.08.2012;Indien;;;;;;;5.1;;; Fr. 2'380.00 
12852;08.08.2012;Indien;;;;;;;5.1;;; Fr. 2'380.00 
12854;08.08.2012;China;;;;2B201b1;2B001c;;;;; Fr. 680'000.00 
12855;08.08.2012;Indien;;;;;;;5.1;;; Fr. 1'900.00 
12856;08.08.2012;Indien;;;;;;;5.1;;; Fr. 615.00 
12856;08.08.2012;Indien;;;;;;;5.1;;; Fr. 615.00 
12857;08.08.2012;Israel;;;;;6A005a6b2;;;;; Fr. 701'800.00 
12858;08.08.2012;Vereinigte Staaten;;;;1C235;;;;;; Fr. 77'000.00 
12859;09.08.2012;Singapur;;;;2B201a1;;;;;; Fr. 250'363.00 
12860;09.08.2012;Indonesien;;;;;5A001f;;;;; Fr. 485.00 
12861;09.08.2012;Indonesien;;;;;5D001a;;;;; Fr. 145'315.00 
12862;09.08.2012;China;;;;;2B001a;;;;; Fr. 365'000.00 
12863;10.08.2012;Marokko;;;;;3A001g2;;;;; Fr. 43'335.00 
12864;10.08.2012;Taiwan, Provinz von China;1C3509;;;;;;;;3B14; Fr. 5'408.00 
12865;10.08.2012;China;;;;;3A001a2c;;;;; Fr. 121'700.00 
12866;10.08.2012;China;;;;;3A001a2c;;;;; Fr. 20'600.00 
12867;10.08.2012;Deutschland;;;;;;6;;;; Fr. 92'000.00 
12868;10.08.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 288'400.00 
12869;10.08.2012;China;;;;2B201a1;;;;;; Fr. 184'419.00 
12798;13.08.2012;Belarus;;;;;5A002a1a;;;;; Fr. 56'875.00 
12798;13.08.2012;Belarus;;;;;5A002a1a;;;;; Fr. 5'480.00 
12838;13.08.2012;China;;;;;3A001b10;;;;; Fr. 156'000.00 
12870;13.08.2012;China;;;;;2D002;;;;; Fr. 18'502.00 
12871;13.08.2012;Russische Föderation;;;;;5A002a1a;;;;; Fr. 208'000.00 
12872;13.08.2012;Philippinen;;;;2B201b1;;;;;; Fr. 736'500.00 
12873;13.08.2012;Thailand;;;;;2B001a;;;;; Fr. 1'170'000.00 
12874;13.08.2012;Indien;;;;2B001a;2B001a;;;;; Fr. 457'000.00 
12875;13.08.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 274'044.00 
12876;13.08.2012;Taiwan, Provinz von China;;;;2B230;;;;;; Fr. 6'795.00 
12877;14.08.2012;Deutschland;;;;;;;;5.2;; Fr. 7'500.00 
12878;14.08.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 1'140'000.00 
12879;14.08.2012;Taiwan, Provinz von China;;;;;3B001e;;;;; Fr. 3'325'000.00 
12880;14.08.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 253'452.00 
12881;14.08.2012;Niederlande;;;;;;;;;1A3; Fr. 1.00 
12882;14.08.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 372'090.00 
12883;14.08.2012;China;;;;2B201a1;;;;;; Fr. 192'945.00 
12884;14.08.2012;Israel;2B350g2;;;;;;;;; Fr. 5'886.00 
12885;15.08.2012;Lettland;;;;;;3a;;;; Fr. 1'732.00 
12886;15.08.2012;China;;;;;6A005a5b;;;;; Fr. 162'000.00 
12887;15.08.2012;Sudan;;;;;;4b;;;; Fr. 1.00 
12887;15.08.2012;Sudan;;;;;;4b;;;; Fr. 84'000.00 
12888;15.08.2012;Slowakei, Slowakische Republik;;;;2B201b1;;;;;; Fr. 625'725.00 
12889;15.08.2012;Russische Föderation;;;;;6A002c1;;;;; Fr. 58'231.00 
12890;15.08.2012;Indien;;;;;;;5.1;;; Fr. 1'900.00 
12891;15.08.2012;Malaysia;;;;;5A002a1a;;;;; Fr. 8'000.00 
12892;15.08.2012;Südafrika;;;;;5A002a1a;;;;; Fr. 48'000.00 
12893;15.08.2012;Oman;;;;;;11;;;; Fr. 24'000.00 
12894;15.08.2012;China;;;;2B201a1;;;;;; Fr. 6'385'500.00 
12895;15.08.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 1'804'310.00 
12937;15.08.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 331'136.00 
12896;16.08.2012;Vereinigte Arabische Emirate;;;;;;;5.1;;; Fr. 1'970.00 
12896;16.08.2012;Vereinigte Arabische Emirate;;;;;;;5.1;;; Fr. 1.00 
12897;16.08.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 436'650.00 
12898;16.08.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 436'650.00 
12900;16.08.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 67'712.00 
12901;16.08.2012;China;2B352b;;;;;;;;; Fr. 83'390.00 
12902;16.08.2012;Brasilien;;;;2B201a1;2B001b2;;;;; Fr. 283'148.00 
12903;16.08.2012;Thailand;;;;;5A001f;;;;; Fr. 380'900.00 
12904;16.08.2012;China;;;;2B201a2;2B001b2;;;;; Fr. 497'291.00 
12905;16.08.2012;Ungarn;;;;;;18a;;;; Fr. 172'000.00 
12906;17.08.2012;Indien;;;;;;;5.1;;; Fr. 24'000.00 
12907;17.08.2012;Indien;;;;;;;5.1;;; Fr. 8'000.00 
12908;17.08.2012;Russische Föderation;;;;2B201a;;;;;; Fr. 151'585.00 
12909;17.08.2012;Russische Föderation;;;;2B201a;;;;;; Fr. 112'011.00 
12910;17.08.2012;Hong Kong;;;;;3A001a5a3;;;;; Fr. 85'000.00 
12911;17.08.2012;Taiwan, Provinz von China;;;;;7B003;;;;; Fr. 29'000.00 
12912;17.08.2012;Indien;;;;;;1a;;;; Fr. 6'914.00 
12913;17.08.2012;Ecuador;;;;;;11;;;; Fr. 13'600.00 
12914;17.08.2012;Katar;;;;;;11a;;;; Fr. 369'095.00 
12915;17.08.2012;Indien;;;;;;1a;;;; Fr. 6'524.00 
12916;17.08.2012;Malaysia;;;;;4E001a;;;;; Fr. 2'000.00 
12917;17.08.2012;Korea, Republik;;;;;;10c;;;; Fr. 5'380.00 
12918;17.08.2012;Brasilien;;;;2B201a1;;;;;; Fr. 200'406.00 
12919;20.08.2012;Großbritannien (Vereinigtes Königreich);;;;;;10d;;;; Fr. 2'201.00 
12920;20.08.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 440'700.00 
12921;20.08.2012;Belarus;;;;;6A005a6b2;;;;; Fr. 198'440.00 
12922;21.08.2012;Deutschland;;;;2B201a1;2B001b2;;;;; Fr. 418'024.00 
12923;21.08.2012;Russische Föderation;;;;;2B120;;;;; Fr. 573'900.00 
12924;21.08.2012;Israel;;;;;7B003a;;;;; Fr. 31'500.00 
12925;21.08.2012;Mexiko;;;;;4A003a;;;;; Fr. 24'070.00 
12926;21.08.2012;Venezuela;2B350a4;;;;;;;;; Fr. 530'000.00 
12927;21.08.2012;Indien;;6A108b2;;;;;;;; Fr. 200'000.00 
12928;21.08.2012;Indien;;2B120;;;7B003a;;;;; Fr. 2'626'400.00 
12929;21.08.2012;China;;;;;6A005a6b2;;;;; Fr. 198'440.00 
12930;21.08.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 1'000'000.00 
12931;22.08.2012;Indien;;;;2B201b1;;;;;; Fr. 515'518.00 
12932;22.08.2012;Russische Föderation;;;;;7B003;;;;; Fr. 124'100.00 
12933;22.08.2012;Vereinigte Staaten;;;0B001b14;;;;;;; Fr. 10'000.00 
12934;22.08.2012;Malaysia;;;;;6A002c1;;;;; Fr. 8'093.00 
12936;22.08.2012;Singapur;;;;;3A001a2c;;;;; Fr. 840'700.00 
12939;23.08.2012;Russische Föderation;;;;2B001a;;;;;; Fr. 207'048.00 
12940;23.08.2012;Peru;;7A103a;;;;;;;; Fr. 151'596.00 
12941;23.08.2012;Malaysia;;;;;5A002a1a;;;;; Fr. 6'234.00 
12942;23.08.2012;Taiwan, Provinz von China;;;;;2D002;;;;; Fr. 10'012.00 
12943;23.08.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 436'650.00 
12944;23.08.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 436'650.00 
12945;23.08.2012;Chile;2B352b;;;;;;;;; Fr. 71'100.00 
12935;24.08.2012;Serbien;;;;;2B001a;;;;; Fr. 180'840.00 
12947;24.08.2012;Kroatien (Hrvatska);;;;;1C010b;;;;; Fr. 122'290.00 
12948;24.08.2012;China;;;;2B001a;2B001a;;;;; Fr. 104'663.00 
12949;24.08.2012;Singapur;;;;;3A001a2c;;;;; Fr. 1'068'700.00 
12950;24.08.2012;Singapur;;;;;3A001a2c;;;;; Fr. 382'300.00 
12952;27.08.2012;Brasilien;;;;;5A002a1a;;;;; Fr. 316'800.00 
12953;27.08.2012;China;;7A103a;;;;;;;; Fr. 151'596.00 
12954;27.08.2012;China;2B350d5;;;;;;;;; Fr. 345'000.00 
12955;27.08.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 483'604.00 
12956;27.08.2012;Deutschland;;;;1C235;;;;;; Fr. 2'500.00 
12956;27.08.2012;Deutschland;;;;1C235;;;;;; Fr. 500.00 
12957;27.08.2012;Saudi-Arabien;;;;;;1a;;;; Fr. 540.00 
12957;27.08.2012;Saudi-Arabien;;;;;;3a;;;; Fr. 7'690.00 
12958;27.08.2012;Ecuador;;;;;5A001i;;;;; Fr. 2'500.00 
12959;27.08.2012;China;;;;2B201a1;;;;;; Fr. 249'739.00 
12960;27.08.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 13'900.00 
12946;28.08.2012;Taiwan, Provinz von China;2B352f;;;;;;;;; Fr. 240'943.00 
12951;28.08.2012;Saudi-Arabien;;;;;;;5.1;;; Fr. 8'360.00 
12951;28.08.2012;Saudi-Arabien;;;;;;1a;;;; Fr. 2'435.00 
12961;28.08.2012;Estland;;;;;6A002c1;;;;; Fr. 23'200.00 
12961;28.08.2012;Estland;;;;;6A002c1;;;;; Fr. 31'900.00 
12962;28.08.2012;China;;;;2B201a1;;;;;; Fr. 2'055'799.00 
12963;28.08.2012;China;;;;2B201a1;;;;;; Fr. 348'765.00 
12964;28.08.2012;China;;;;2B201a1;;;;;; Fr. 231'377.00 
12783;29.08.2012;Israel;;;;;;;5.1;;; Fr. 14'185.00 
12965;29.08.2012;Indien;;;;;;18a;;;; Fr. 90'189.00 
12966;29.08.2012;Belarus;;;;;;;5.1;;; Fr. 3'763.00 
12967;29.08.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 12'000.00 
12968;29.08.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 11'800.00 
12969;29.08.2012;Singapur;;;;1C231;;;;;; Fr. 2'550.00 
12970;30.08.2012;Katar;;;;;5A001i;;;;; Fr. 2'500.00 
12971;30.08.2012;China;;7A103a;;;;;;;; Fr. 454'788.00 
12972;30.08.2012;China;;;;;3A001a2c;;;;; Fr. 328'000.00 
12973;30.08.2012;China;;;;2B201b1;;;;;; Fr. 754'000.00 
12974;30.08.2012;China;;;;2B201b1;;;;;; Fr. 445'000.00 
12975;30.08.2012;Frankreich;1C350.13;;;;;;;;2B09; Fr. 15'000.00 
12978;30.08.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 10'059'295.00 
12979;31.08.2012;Deutschland;;;;2B201a1;2B001b2;;;;; Fr. 474'997.00 
12980;31.08.2012;Russische Föderation;2B350d3;;;;;;;;; Fr. 4'400.00 
12980;31.08.2012;Russische Föderation;2B350g3;;;;;;;;; Fr. 42'450.00 
12980;31.08.2012;Russische Föderation;2B350e3;;;;;;;;; Fr. 3'600.00 
12980;31.08.2012;Russische Föderation;2B350b3;;;;;;;;; Fr. 9'000.00 
12981;31.08.2012;Kroatien (Hrvatska);;;;;2B001a;;;;; Fr. 1'241'995.00 
12982;31.08.2012;China;;;;2B001b1;;;;;; Fr. 472'600.00 
12983;31.08.2012;China;;;;2B201b1;;;;;; Fr. 643'200.00 
12984;31.08.2012;Israel;;;;1C231;;;;;; Fr. 3'696.00 
12985;31.08.2012;Israel;;;;1C231;;;;;; Fr. 6'600.00 
12986;31.08.2012;Russische Föderation;;;;2B201b1;;;;;; Fr. 708'100.00 
12987;31.08.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 1'886'120.00 
12988;31.08.2012;China;;;;;3A001a2c;;;;; Fr. 19'900.00 
12989;31.08.2012;Pakistan;2B350g2;;;;;;;;; Fr. 2'054.00 
12991;03.09.2012;Oman;;;;;5A002a1a;;;;; Fr. 21'735.00 
12992;03.09.2012;Oman;;;;;5A002a1a;;;;; Fr. 12'943.00 
12990;04.09.2012;Brasilien;;;;;;;5.1;;; Fr. 42'000.00 
12993;05.09.2012;Taiwan, Provinz von China;;;;;5A002a1a;;;;; Fr. 16'000.00 
12994;05.09.2012;Kuba;2B350i;;;;;;;;; Fr. 22'900.00 
12995;05.09.2012;China;;;;;3A001g2;;;;; Fr. 45'041.00 
12997;05.09.2012;Thailand;;;;;4A003a;;;;; Fr. 125'300.00 
12998;05.09.2012;Deutschland;;;;2B201a1;2B001b2;;;;; Fr. 301'037.00 
12999;05.09.2012;Thailand;;;;;5A001i;;;;; Fr. 500.00 
13000;05.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 2'328'614.00 
13001;05.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 2'555'729.00 
13003;05.09.2012;Hong Kong;;;;2B201a;2B001b2;;;;; Fr. 755'666.00 
13004;05.09.2012;Italien;;;;;;;5.1;;; Fr. 263.00 
13005;05.09.2012;Taiwan, Provinz von China;;;;2B201a1;;;;;; Fr. 213'228.00 
13006;06.09.2012;China;;;;;3B001e;;;;; Fr. 1'995'000.00 
13007;06.09.2012;Indonesien;;;;;3A001a2c;;;;; Fr. 67'700.00 
13008;06.09.2012;Indonesien;;;;;3A001a2c;;;;; Fr. 58'000.00 
13009;06.09.2012;Peru;;;;;6A002c1;;;;; Fr. 8'200.00 
13009;06.09.2012;Peru;;;;;6A002a3f;;;;; Fr. 8'200.00 
13010;06.09.2012;Mexiko;;;;;;22a;;;; Fr. 5'000'000.00 
13010;06.09.2012;Mexiko;;;;;;13;;;; Fr. 1.00 
13011;06.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 770'775.00 
13012;06.09.2012;Singapur;;;;;5D002;;;;; Fr. 50.00 
13013;06.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 483'343.00 
13014;06.09.2012;Singapur;;;;1C231;;;;;; Fr. 4'200.00 
13015;07.09.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 512'600.00 
13017;07.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 13'780.00 
13018;07.09.2012;Singapur;2B350d3;;;;;;;;; Fr. 19'530.00 
13020;07.09.2012;Ukraine;;;;2B201a;2B001b;;;;; Fr. 327'437.00 
13021;07.09.2012;Taiwan, Provinz von China;;;;;;11;;;; Fr. 110'470.00 
13022;07.09.2012;China;;;;;3A001a2c;;;;; Fr. 12'300.00 
13023;10.09.2012;China;;;;2B201b;;;;;; Fr. 800'689.00 
13024;10.09.2012;China;;;;2B001a;2B001a;;;;; Fr. 155'039.00 
13026;10.09.2012;Taiwan, Provinz von China;2B352d;;;;;;;;; Fr. 31'500.00 
13027;10.09.2012;Singapur;;;;;6A002a3f;;;;; Fr. 6'204.00 
13028;11.09.2012;Oman;;;;;5A001i;;;;; Fr. 1'500.00 
13029;11.09.2012;Togo;;;;;3A002g2;;;;; Fr. 43'321.00 
13030;11.09.2012;China;;;;;6A005a6b2;;;;; Fr. 347'252.00 
13031;11.09.2012;China;;;;;6A002c1;;;;; Fr. 151'700.00 
13032;11.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 1'681'631.00 
13033;11.09.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 384'300.00 
13034;11.09.2012;Deutschland;2B352b;;;;;;;;; Fr. 108'340.00 
13035;11.09.2012;China;;;;;3A001a2c;;;;; Fr. 617'000.00 
13036;11.09.2012;Israel;;;;;;16;;;; Fr. 1'700.00 
12470;12.09.2012;Neuseeland;;;;;;1a;;;; Fr. 1'396.00 
13002;12.09.2012;Taiwan, Provinz von China;1C3509;;;;;;;;3B14; Fr. 2'883.00 
13037;12.09.2012;Israel;;;;;7A002a+b;;;;; Fr. 670'000.00 
13038;12.09.2012;Litauen;;;;;6A002c1;;;;; Fr. 7'990.00 
13039;12.09.2012;Kanada;;;;;;;5.1;;; Fr. 1'030.00 
13040;12.09.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 1'026'000.00 
13042;12.09.2012;China;;;;;3A001a2c;;;;; Fr. 22'300.00 
13043;12.09.2012;Marokko;;;;;;;;5.2;; Fr. 425'000.00 
13044;12.09.2012;Saudi-Arabien;;;;;;3;;;; Fr. 520.00 
12520;13.09.2012;Brasilien;;;0B001b14;;;;;;; Fr. 95'000.00 
13045;13.09.2012;Thailand;;;;;5A001f;;;;; Fr. 132'500.00 
13046;13.09.2012;Großbritannien (Vereinigtes Königreich);;;;;;;5.1;;; Fr. 2'500.00 
13047;13.09.2012;Frankreich;;;;2B201a1;2B001b2;;;;; Fr. 523'463.00 
13048;13.09.2012;Thailand;;;;;5A001i;;;;; Fr. 1'700.00 
13049;13.09.2012;Ungarn;;;;;;18a;;;; Fr. 10'000.00 
13050;13.09.2012;Kolumbien;;7A103a;;;;;;;; Fr. 151'596.00 
13051;14.09.2012;Serbien;;;;;;18a;;;; Fr. 5'453'470.00 
13052;14.09.2012;Mexiko;;;;;5A001i;;;;; Fr. 3'400.00 
13053;14.09.2012;China;;;;;2B001a;;;;; Fr. 592'230.00 
13054;14.09.2012;Jordanien;2B350g2;;;;;;;;; Fr. 2'012.00 
13055;14.09.2012;Taiwan, Provinz von China;;;;2B201a1;;;;;; Fr. 256'033.00 
13056;14.09.2012;Großbritannien (Vereinigtes Königreich);;;;;;10c;;;; Fr. 119'850.00 
13057;17.09.2012;Südafrika;;;;;;;5.1;;; Fr. 25'900.00 
13057;17.09.2012;Südafrika;;;;;;;5.1;;; Fr. 1.00 
13057;17.09.2012;Südafrika;;;;;;;5.1;;; Fr. 1.00 
13058;17.09.2012;Burkina Faso;;;;;;7f1;;;; Fr. 117'600.00 
13059;17.09.2012;Frankreich;;;;2B001a;2B001a;;;;; Fr. 490'000.00 
13060;17.09.2012;Saudi-Arabien;;;;;;11a;;;; Fr. 240'650.00 
13060;17.09.2012;Saudi-Arabien;;;;;;11a;;;; Fr. 215'350.00 
13061;17.09.2012;China;;;;;3A001a2c;;;;; Fr. 263'600.00 
13062;17.09.2012;China;;;;;3A001a2c;;;;; Fr. 182'800.00 
13063;17.09.2012;Aserbaidschan;;;;;;10c2;;;; Fr. 1'021'540.00 
13064;17.09.2012;Singapur;2B350g2;;;;;;;;; Fr. 8'524.00 
13065;17.09.2012;China;;;;;2D002;;;;; Fr. 6'716.00 
13066;18.09.2012;China;2B352b;;;;;;;;; Fr. 91'000.00 
13067;18.09.2012;Thailand;;;;2B201b;2B001c1;;;;; Fr. 357'600.00 
13068;18.09.2012;Korea, Republik;;;;1B231b2;;;;;; Fr. 550.00 
13068;18.09.2012;Korea, Republik;;;;1C235;;;;;; Fr. 5'000.00 
13069;18.09.2012;China;;;;;2D002;;;;; Fr. 10'593.00 
13070;18.09.2012;Thailand;;;;;5A001i;;;;; Fr. 170.00 
13071;19.09.2012;Singapur;;;;1C231;;;;;; Fr. 4'200.00 
13073;19.09.2012;Singapur;;;;;;4b;;;; Fr. 6'030.00 
13075;19.09.2012;Tunesien;;;;;;;;5.2;; Fr. 425'000.00 
13076;19.09.2012;Italien;;;;;;4c;;;; Fr. 7'200.00 
13077;19.09.2012;Singapur;;;;;3A001a2c;;;;; Fr. 34'200.00 
13078;19.09.2012;Singapur;;;;;3A001a2c;;;;; Fr. 37'000.00 
13095;19.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 178'796.00 
13096;19.09.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 58'220.00 
12579;20.09.2012;Pakistan;;;;;7B003a;;;;; Fr. 200'000.00 
13072;20.09.2012;Vereinigte Arabische Emirate;;;;;;;5.1;;; Fr. 655.00 
