;Ukraine;Ukraine;494'731;475'665;;19'066;;;;;;;;
;Ungarn;Hongrie;2'047'742;1'681'209;;363'533;;;3'000;;;;;
;Zypern;Chypre;66'970;59'410;;;;7'560;;;;;;
;;;495'514'668;;;;;;;;;;;
;;;;;;;;;;;;;;
Afrika;Ägypten;Egypte;2'350;2'350;;;;;;;;;;
;Botswana;Botswana;207'389;;;;;;207'389;;;;;
;Südafrika;Afrique du Sud;5'896'550;76'763;1'242'769;3'752'678;;66'600;;;757'740;;;
;;;6'106'289;;;;;;;;;;;
;;;;;;;;;;;;;;
Amerika;Argentinien;Argentine;2'079;;2'079;;;;;;;;;
Amérique;Barbados;Barbade;94'055;;;94'055;;;;;;;;
Amérique;Brasilien;Brésil;10'520'104;;403'080;;;1'238'805;8'878'219;;;;;
;Chile;Chili;1'064'231;;35'296;;;924'867;104'068;;;;;
;Dominica;Dominique;400;400;;;;;;;;;;
;Dominika Rep.;Rep. Dominicaine;53'347;53'347;;;;;;;;;;
;El Salvador;El Salvador;859;859;;;;;;;;;;
;Kanada;Canada;4'232'514;639'509;;107'046;;;3'333'449;;;152'510;;
;Peru;Pérou;3'713;3'713;;;;;;;;;;
;Uruguay;Uruguay;3'047;3'047;;;;;;;;;;
;U.S.A;U.S.A;30'657'701;1'598'722;542'997;1'335'579;;5'000;242'202;;276'623;26'487'640;168'938;
;Venezuela;Venezuela;1'485;;1'485;;;;;;;;;
;;;46'633'535;;;;;;;;;;;
;;;;;;;;;;;;;;
Asien;Arabische Emirate;Emirats arabes unis;265'805'621;969'776;;118'540;;2'923'104;3'680'978;;;258'113'223;;
Asie;Bahrain;Bahreïn;2'228'230;;;;;2'228'230;;;;;;
;Brunei;Brunei;39'098;;;39'098;;;;;;;;
;Hongkong;Hongkong;3'705;3'205;;500;;;;;;;;
;Indien;Inde;7'411'189;3'646'900;;9'792;;3'754'497;;;;;;
;Indonesien;Indonésie;672'799;636'936;;35'863;;;;;;;;
;Israel;Israel;21'134;;;;;;21'134;;;;;
;Japan;Japon;318'849;156'230;;134'975;;;;27'644;;;;
;Jordanien;Jordanie;4'029;4'029;;;;;;;;;;
;Katar;Qatar;660'010;660'010;;;;;;;;;;
;Korea (Süd);Corée (Sud);1'211'044;56'512;246'515;40'613;757'904;109'500;;;;;;
;Kuwait;Koweït;68'540;68'540;;;;;;;;;;
;Malaysia;Malaisie;1'774'654;246'810;;;;1'527'344;;500;;;;
;Oman;Oman;1'193'655;;160'168;1'033'487;;;;;;;;
;Pakistan;Pakistan;6'550'706;;168'944;;;6'381'762;;;;;;
;Saudi-Arabien;Arabie Saoudite;20'641'815;110'372;2'513'776;;;18'017'667;;;;;;
;Singapur;Singapour;9'442'174;96'681;1'110'846;5'021'393;;211'068;;;3'002'186;;;
;Thailand;Thaïlande;66'138;;;;;66'020;;;118;;;
;;;318'113'390;;;;;;;;;;;
;;;;;;;;;;;;;;
Australien ;Australien;Australie;6'254'553;275'548;;3'838'524;;;2'140'481;;;;;
Australie;Neuseeland;Nouvelle-Zélande;62'560;62'560;;;;;;;;;;
;;;6'317'113;;;;;;;;;;;
