;Türkei;Turquie;2'714'276;151'916;341'664;621;2'200'000;19'800;;;275;;;
;Ukraine;Ukraine;714'545;707'644;;6'901;;;;;;;;
;Ungarn;Hongrie;2'891'007;39'776;;2'836'844;;;;1'648;12'739;;;
;Zypern;Chypre;266'635;;;6'668;;259'967;;;;;;
;;;436'194'310;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Afrika;Botswana;Botswana;17'700;;;;;;17'700;;;;;
;Ghana;Ghana;280'000;;280'000;;;;;;;;;
;Namibia;Namibie;999;999;;;;;;;;;;
;Seychellen;Seychelles;212'699;212'699;;;;;;;;;;
;Südafrika;Afrique du Sud;1'098'376;76'698;80'400;676'650;;200'328;;;64'300;;;
;;;1'609'774;;;;;;;;;;;
;;;;;;;;;;;;;;
Amerika;Brasilien;Brésil;10'399'752;;215'672;102;;371'484;9'811'561;;933;;;
Amérique;Chile;Chili;1'912'459;6'112;37'359;1'438'300;;423'540;7'148;;;;;
Amérique;Ecuador ;Equateur;1'600;;;;;1'600;;;;;;
;Kanada;Canada;2'408'682;629'547;16'028;70'130;;;1'504'255;;;188'722;;
;Mexiko;Mexico;667'217;455'011;;212'206;;;;;;;;
;Uruguay;Uruguay;208;184;;24;;;;;;;;
;U.S.A;U.S.A;32'396'611;2'867'511;41'194;3'907'677;;;153'920;;589'258;24'334'902;502'149;
;Venezuela;Venezuela;15'365;;12'646;;;2'719;;;;;;
;;;47'801'894;;;;;;;;;;;
;;;;;;;;;;;;;;
Asien;Arabische Emirate;Emirats arabes unis;132'786'201;548'436;487'653;729'319;;1'082'393;;;;129'938'400;;
Asie;Bahrain;Bahreïn;2'823'977;6'935;6'460;;2'705'778;104'804;;;;;;
;Brunei;Brunei;179'700;;;179'700;;;;;;;;
;Hongkong;Hongkong;99'774;19'974;;79'800;;;;;;;;
;Indien;Inde;26'909'639;2'634'758;;1'431'675;;22'843'206;;;;;;
;Indonesien;Indonésie;2'626;2'626;;;;;;;;;;
;Japan;Japon;603'706;36'017;;370'281;;;;197'408;;;;
;Jordanien;Jordanie;28'378;28'378;;;;;;;;;;
;Kasachstan;Kazakhstan;5'000;5'000;;;;;;;;;;
;Katar;Qatar;77'000;77'000;;;;;;;;;;
;Korea (Süd);Corée (Sud);953'752;27'782;530'468;395'502;;;;;;;;
;Kuwait;Koweït;300'335;157'526;;142'809;;;;;;;;
;Macau;Macao;977'344;141'919;;835'425;;;;;;;;
;Malaysia;Malaisie;11'331'316;24'484;538;10'802'264;;497'853;;;4'100;2'077;;
;Oman;Oman;4'851'275;;;4'845'280;;5'995;;;;;;
;Pakistan;Pakistan;960'679;;106'359;;;854'320;;;;;;
;Saudi-Arabien;Arabie Saoudite;24'758'886;156'624;3'586'211;2'914'887;;17'553'358;;;;547'806;;
;Singapur;Singapour;1'866'850;287'967;878'593;321'094;;108'706;164'870;;105'620;;;
;Thailand;Thaïlande;116'312;902;;;;100'370;;;;15'040;;
;;;209'632'750;;;;;;;;;;;
;;;;;;;;;;;;;;
Australien ;Australien;Australie;5'133'042;55'344;868;5'076'830;;;;;;;;
Australie;Neuseeland;Nouvelle-Zélande;48'894;48'894;;;;;;;;;;
;;;5'181'936;;;;;;;;;;;
